squareMeters,numberOfRooms,floors,cityCode,numPrevOwners,made,isNewBuilt,basement,hasStorageRoom,hasGuestRoom,price
75523,3,63,9373,8,2005,0,4313,0,7,7559081.5
80771,39,98,39381,6,2015,1,3653,1,2,8085989.5
55712,58,19,34457,8,2021,0,2937,1,9,5574642.1
32316,47,6,27939,4,2012,0,659,0,3,3232561.2
70429,19,90,38045,7,1990,1,8435,1,4,7055052.0
39223,36,17,39489,6,2012,0,2009,0,1,3926647.2
58682,10,99,6450,9,1995,1,5930,0,5,5876376.5
86929,100,11,98155,4,2003,1,6326,0,10,8696869.3
51522,3,61,9047,3,2012,1,632,1,5,5154055.2
39686,42,15,71019,8,2021,1,5198,1,3,3970892.1
23563,21,90,91058,8,1993,1,703,1,10,2366397.3
96470,74,21,92029,2,2011,1,5414,1,9,9652258.1
19127,31,5,7475,9,2008,0,5387,0,4,1914688.8
13087,44,77,40475,4,2004,1,1745,0,0,1320803.4
79770,3,69,54812,5,2018,0,8871,0,7,7986665.8
75985,60,67,6517,9,2009,1,4878,1,5,7607322.9
64169,88,6,61711,9,2011,1,3054,0,9,6420823.1
99371,31,16,96297,8,2013,1,3258,1,8,9944705.3
25966,37,17,22818,1,2016,0,8257,0,6,2604486.6
41792,43,10,80768,5,2017,1,2950,1,5,4187667.7
28795,64,50,97667,4,2009,1,9862,1,0,2888047.9
92383,12,78,71982,7,2000,0,7507,1,1,9244344.0
33279,64,65,91690,2,2019,1,2427,0,1,3333351.9
34782,47,73,35331,4,2020,0,9586,0,2,3482594.0
13386,51,90,87978,6,1993,0,2885,1,4,1342509.3
20883,56,54,85377,9,2018,0,9982,1,10,2091505.8
95121,46,3,9382,9,1994,0,615,0,10,9515440.4
6071,72,14,8410,6,2003,1,3306,0,2,612471.3
11844,43,55,46144,5,1993,1,5292,0,10,1189939.3
52078,7,73,20372,4,2016,1,1864,0,5,5217708.6
25897,98,92,20344,4,1993,0,9799,1,10,2598763.3
85443,40,54,339,1,2021,1,3056,1,2,8555234.1
11412,78,79,73807,5,2009,1,6899,0,0,1145642.9
97550,89,98,78155,5,2014,1,5391,0,0,9765099.4
76485,47,9,90254,9,2008,1,2860,0,1,7653300.8
26169,29,62,66489,7,1993,0,7918,1,9,2622399.3
24239,87,91,73056,7,1998,0,6656,0,3,2427801.8
36239,8,24,66771,6,1990,0,6679,1,5,3627708.0
10500,88,49,10533,1,2013,1,4170,0,5,1057021.3
87060,27,91,51803,10,2000,0,6629,0,7,8711426.0
66683,19,6,50801,2,2001,0,7473,1,3,6677649.1
66569,59,56,15574,9,2016,1,2020,1,10,6667802.6
84559,29,69,53057,7,2000,1,3573,1,8,8460604.0
28749,39,53,80821,5,1996,1,8113,1,3,2877997.6
76091,38,32,59451,8,2016,1,8150,0,7,7614076.6
92696,49,38,74381,2,2021,0,1559,1,2,9272740.1
46988,66,27,4863,10,1991,1,8339,1,4,4707341.1
48062,22,4,28104,10,2008,1,7908,1,1,4809993.8
5767,97,11,44551,3,1998,1,2516,1,4,586742.8
59800,47,27,44815,9,2021,0,5075,0,4,5984462.1
54836,25,53,64601,5,2020,1,5278,1,6,5492532.0
54318,10,52,76737,2,1998,1,9580,1,1,5444967.8
70021,52,28,95678,6,1992,0,4480,1,1,7005572.2
54368,11,20,55761,7,2021,0,231,0,8,5446398.1
31421,29,68,67505,3,1999,1,8949,0,5,3147829.9
63053,6,28,45312,1,1997,0,8414,1,8,6315375.7
4187,89,17,7488,6,1994,1,186,1,2,421906.4
33108,82,83,52015,10,2016,1,6250,1,2,3316069.6
64393,8,51,95335,1,1990,1,3835,0,6,6441378.0
93876,60,70,5484,1,1999,1,4086,1,8,9390891.9
67040,60,22,1690,8,1993,1,4817,0,0,6714247.3
47938,17,68,64247,1,2013,0,327,1,8,4797883.3
39090,57,74,2922,9,2010,0,3572,1,6,3917691.0
43609,66,55,6739,9,2005,0,3388,1,7,4364910.5
41998,74,17,32039,1,1990,1,6838,0,9,4203344.0
36496,9,47,51526,1,2017,0,2768,1,0,3656368.7
84016,15,55,63595,7,2016,1,3284,0,2,8410054.6
3087,27,94,9283,10,2005,1,5866,1,1,321717.5
89768,48,17,71000,9,1993,0,2485,0,7,8980518.3
